method	node	low_hz	high_hz	member_kind	members
wavelet-packet	53	6312.500000000	6375.000000000	wavelet_packet	101
wavelet-packet	54	6375.000000000	6437.500000000	wavelet_packet	102
wavelet-packet	55	6437.500000000	6500.000000000	wavelet_packet	103
wavelet-packet	56	6500.000000000	6562.500000000	wavelet_packet	104
wavelet-packet	57	6562.500000000	6625.000000000	wavelet_packet	105
wavelet-packet	58	6625.000000000	6687.500000000	wavelet_packet	106
wavelet-packet	59	6687.500000000	6750.000000000	wavelet_packet	107
wavelet-packet	60	6750.000000000	6812.500000000	wavelet_packet	108
wavelet-packet	61	6812.500000000	6875.000000000	wavelet_packet	109
wavelet-packet	62	6875.000000000	6937.500000000	wavelet_packet	110
wavelet-packet	63	6937.500000000	7000.000000000	wavelet_packet	111
wavelet-packet	64	7000.000000000	7062.500000000	wavelet_packet	112
wavelet-packet	65	7062.500000000	7125.000000000	wavelet_packet	113
wavelet-packet	66	7125.000000000	7187.500000000	wavelet_packet	114
wavelet-packet	67	7187.500000000	7250.000000000	wavelet_packet	115
wavelet-packet	68	7250.000000000	7312.500000000	wavelet_packet	116
wavelet-packet	69	7312.500000000	7375.000000000	wavelet_packet	117
wavelet-packet	70	7375.000000000	7437.500000000	wavelet_packet	118
wavelet-packet	71	7437.500000000	7500.000000000	wavelet_packet	119
wavelet-packet	72	7500.000000000	7562.500000000	wavelet_packet	120
wavelet-packet	73	7562.500000000	7625.000000000	wavelet_packet	121
wavelet-packet	74	7625.000000000	7687.500000000	wavelet_packet	122
wavelet-packet	75	7687.500000000	7750.000000000	wavelet_packet	123
wavelet-packet	76	7750.000000000	7812.500000000	wavelet_packet	124
wavelet-packet	77	7812.500000000	7875.000000000	wavelet_packet	125
wavelet-packet	78	7875.000000000	7937.500000000	wavelet_packet	126
wavelet-packet	79	7937.500000000	8000.000000000	wavelet_packet	127
carfac-cochlea	0	0.000000000	43.249322891	carfac_section	80
carfac-cochlea	1	43.249322891	52.659872055	carfac_section	79
carfac-cochlea	2	52.659872055	62.495059967	carfac_section	78
carfac-cochlea	3	62.495059967	72.774047852	carfac_section	77
carfac-cochlea	4	72.774047852	83.516864777	carfac_section	76
carfac-cochlea	5	83.516864777	94.744441986	carfac_section	75
carfac-cochlea	6	94.744441986	106.478649139	carfac_section	74
carfac-cochlea	7	106.478649139	118.742347717	carfac_section	73
carfac-cochlea	8	118.742347717	131.559432983	carfac_section	72
carfac-cochlea	9	131.559432983	144.954872131	carfac_section	71
carfac-cochlea	10	144.954872131	158.954765320	carfac_section	70
carfac-cochlea	11	158.954765320	173.586387634	carfac_section	69
carfac-cochlea	12	173.586387634	188.878242493	carfac_section	68
carfac-cochlea	13	188.878242493	204.860130310	carfac_section	67
carfac-cochlea	14	204.860130310	221.563179016	carfac_section	66
carfac-cochlea	15	221.563179016	239.019935608	carfac_section	65
carfac-cochlea	16	239.019935608	257.264411926	carfac_section	64
carfac-cochlea	17	257.264411926	276.332138062	carfac_section	63
carfac-cochlea	18	276.332138062	296.260284424	carfac_section	62
carfac-cochlea	19	296.260284424	317.087661743	carfac_section	61
carfac-cochlea	20	317.087661743	338.854843140	carfac_section	60
carfac-cochlea	21	338.854843140	361.604248047	carfac_section	59
carfac-cochlea	22	361.604248047	385.380203247	carfac_section	58
carfac-cochlea	23	385.380203247	410.229019165	carfac_section	57
carfac-cochlea	24	410.229019165	436.199096680	carfac_section	56
carfac-cochlea	25	436.199096680	463.341049194	carfac_section	55
carfac-cochlea	26	463.341049194	491.707748413	carfac_section	54
carfac-cochlea	27	491.707748413	521.354461670	carfac_section	53
carfac-cochlea	28	521.354461670	552.338958740	carfac_section	52
carfac-cochlea	29	552.338958740	584.721588135	carfac_section	51
carfac-cochlea	30	584.721588135	618.565460205	carfac_section	50
carfac-cochlea	31	618.565460205	653.936492920	carfac_section	49
carfac-cochlea	32	653.936492920	690.903594971	carfac_section	48
carfac-cochlea	33	690.903594971	729.538818359	carfac_section	47
carfac-cochlea	34	729.538818359	769.917388916	carfac_section	46
carfac-cochlea	35	769.917388916	812.117980957	carfac_section	45
carfac-cochlea	36	812.117980957	856.222839355	carfac_section	44
carfac-cochlea	37	856.222839355	902.317871094	carfac_section	43
carfac-cochlea	38	902.317871094	950.492889404	carfac_section	42
carfac-cochlea	39	950.492889404	1000.841766357	carfac_section	41
carfac-cochlea	40	1000.841766357	1053.462585449	carfac_section	40
carfac-cochlea	41	1053.462585449	1108.457824707	carfac_section	39
carfac-cochlea	42	1108.457824707	1165.934692383	carfac_section	38
carfac-cochlea	43	1165.934692383	1226.005126953	carfac_section	37
carfac-cochlea	44	1226.005126953	1288.786132812	carfac_section	36
carfac-cochlea	45	1288.786132812	1354.400146484	carfac_section	35
carfac-cochlea	46	1354.400146484	1422.974914551	carfac_section	34
carfac-cochlea	47	1422.974914551	1494.643981934	carfac_section	33
carfac-cochlea	48	1494.643981934	1569.546997070	carfac_section	32
carfac-cochlea	49	1569.546997070	1647.829956055	carfac_section	31
carfac-cochlea	50	1647.829956055	1729.645385742	carfac_section	30
carfac-cochlea	51	1729.645385742	1815.152587891	carfac_section	29
carfac-cochlea	52	1815.152587891	1904.518249512	carfac_section	28
carfac-cochlea	53	1904.518249512	1997.916442871	carfac_section	27
carfac-cochlea	54	1997.916442871	2095.529113770	carfac_section	26
carfac-cochlea	55	2095.529113770	2197.546386719	carfac_section	25
carfac-cochlea	56	2197.546386719	2304.167114258	carfac_section	24
carfac-cochlea	57	2304.167114258	2415.598999023	carfac_section	23
carfac-cochlea	58	2415.598999023	2532.059082031	carfac_section	22
carfac-cochlea	59	2532.059082031	2653.774291992	carfac_section	21
carfac-cochlea	60	2653.774291992	2780.981689453	carfac_section	20
carfac-cochlea	61	2780.981689453	2913.929321289	carfac_section	19
carfac-cochlea	62	2913.929321289	3052.876098633	carfac_section	18
