pc	macro_index	micro_opcode	rounding
603	81	RESHAPE	exact_or_explicitly_pinned
604	81	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
605	82	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
606	83	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
607	83	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
608	83	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
609	83	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
610	83	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
611	83	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
612	83	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
613	84	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
614	84	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
615	84	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
616	84	RESHAPE	exact_or_explicitly_pinned
617	84	TRANSPOSE	exact_or_explicitly_pinned
618	84	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
619	84	RELATIVE_BIAS	exact_or_explicitly_pinned
620	84	CAUSAL_MASK	exact_or_explicitly_pinned
621	84	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
622	84	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
623	84	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
624	84	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
625	84	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
626	84	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
627	84	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
628	84	RESHAPE	exact_or_explicitly_pinned
629	84	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
630	85	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
631	86	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
632	86	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
633	86	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
634	86	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
635	86	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
